index	universal dataset model	metal oxide subset model	carbon-based subset model	nanotube subset model	quantum dot subset model
bootstrap	False	False	False	False	True
ccp_alpha	0.0	0.0	0.0	0.0	0.0
criterion	mse	mse	mse	mse	mse
max_depth					11
max_features	auto	auto	auto	auto	0.67
max_leaf_nodes					
max_samples					
min_impurity_decrease	0.0	0.0	0.0	0.0	0.22
min_impurity_split					
min_samples_leaf	1	1	1	1	1
min_samples_split	2	2	2	2	4
min_weight_fraction_leaf	0.0	0.0	0.0	0.0	0.0
n_estimators	100	100	100	100	195
n_jobs	-1	-1	-1	-1	-1
oob_score	False	False	False	False	False
random_state	834	834	834	834	834
verbose	0	0	0	0	0
warm_start	False	False	False	False	False
